"Timeinfo","Level","Message","Light","Pressure","Disp Pressure","Light Counter","Pressure Counter"
2023-09-09 11:27:53.488, [INFO],Still Outside
2023-09-09 11:27:53.499, [INFO],Judge Storage:L0,866,0,0,0,0
2023-09-09 11:27:54.51 , [INFO],Still Outside
2023-09-09 11:27:54.501, [INFO],Judge Storage:L0,843,0,0,0,0
2023-09-09 11:27:54.614, [INFO],Still Outside
2023-09-09 11:27:55.177, [INFO],Still Outside
2023-09-09 11:27:55.505, [INFO],Judge Storage:L0,840,0,0,0,0
2023-09-09 11:27:55.740, [INFO],Still Outside
2023-09-09 11:27:56.303, [INFO],Still Outside
2023-09-09 11:27:56.508, [INFO],Judge Storage:L0,846,0,0,0,0
2023-09-09 11:27:56.867, [INFO],Still Outside
2023-09-09 11:27:57.430, [INFO],Still Outside
2023-09-09 11:27:57.511, [INFO],Judge Storage:L0,865,0,0,0,0
2023-09-09 11:27:57.993, [INFO],Still Outside
2023-09-09 11:27:58.514, [INFO],Judge Storage:L0,863,0,0,0,0
2023-09-09 11:27:58.557, [INFO],Still Outside
2023-09-09 11:27:59.120, [INFO],Still Outside
2023-09-09 11:27:59.517, [INFO],Judge Storage:L0,848,0,0,0,0
2023-09-09 11:27:59.684, [INFO],Still Outside
2023-09-09 11:28:00.247, [INFO],Still Outside
2023-09-09 11:28:00.522, [INFO],Judge Storage:L0,866,0,0,0,0
2023-09-09 11:28:00.811, [INFO],Still Outside
2023-09-09 11:28:01.374, [INFO],Still Outside
2023-09-09 11:28:01.525, [INFO],Judge Storage:L0,862,0,0,0,0
2023-09-09 11:28:01.938, [INFO],Still Outside
2023-09-09 11:28:02.501, [INFO],Still Outside
2023-09-09 11:28:02.528, [INFO],Judge Storage:L0,851,0,0,0,0
2023-09-09 11:28:03.65 , [INFO],Still Outside
2023-09-09 11:28:03.532, [INFO],Judge Storage:L0,866,0,0,0,0
2023-09-09 11:28:03.628, [INFO],Still Outside
2023-09-09 11:28:04.192, [INFO],Still Outside
2023-09-09 11:28:04.535, [INFO],Judge Storage:L0,861,0,0,0,0
2023-09-09 11:28:04.755, [INFO],Still Outside
2023-09-09 11:28:05.318, [INFO],Still Outside
2023-09-09 11:28:05.538, [INFO],Judge Storage:L0,851,0,0,0,0
2023-09-09 11:28:05.881, [INFO],Still Outside
2023-09-09 11:28:06.444, [INFO],Still Outside
2023-09-09 11:28:06.541, [INFO],Judge Storage:L0,851,0,0,0,0
2023-09-09 11:28:07.7  , [INFO],Still Outside
2023-09-09 11:28:07.543, [INFO],Judge Storage:L0,850,0,0,0,0
2023-09-09 11:28:07.569, [INFO],Still Outside
2023-09-09 11:28:08.132, [INFO],Still Outside
2023-09-09 11:28:08.546, [INFO],Judge Storage:L0,860,0,0,0,0
2023-09-09 11:28:08.695, [INFO],Still Outside
2023-09-09 11:28:09.259, [INFO],Still Outside
2023-09-09 11:28:09.549, [INFO],Judge Storage:L0,865,0,0,0,0
2023-09-09 11:28:09.822, [INFO],Still Outside
2023-09-09 11:28:10.384, [INFO],Still Outside
2023-09-09 11:28:10.551, [INFO],Judge Storage:L0,865,0,0,0,0
2023-09-09 11:28:10.947, [INFO],Still Outside
2023-09-09 11:28:11.510, [INFO],Still Outside
2023-09-09 11:28:11.554, [INFO],Judge Storage:L0,861,0,0,0,0
2023-09-09 11:28:12.73 , [INFO],Still Outside
